Topic,Count,Name,Representation,Representative_Docs
-1,10199,-1_the_to_and_my,"['the', 'to', 'and', 'my', 'that', 'was', 'chase', 'of', 'in', 'on']",
0,1774,0_check_the_account_my,"['check', 'the', 'account', 'my', 'and', 'to', 'was', 'bank', 'that', 'me']",
1,692,1_fees_overdraft_fee_account,"['fees', 'overdraft', 'fee', 'account', '3400', 'the', 'my account', 'to', 'overdraft fees', 'charged']",
2,687,2_points_card_offer_the,"['points', 'card', 'offer', 'the', 'bonus', 'annual', 'for', 'fee', 'annual fee', 'to']",
3,544,3_inquiry_inquiries_credit_my credit,"['inquiry', 'inquiries', 'credit', 'my credit', 'hard', 'report', 'credit report', 'hard inquiry', 'my', 'on my']",
4,338,4_modification_loan_mortgage_we,"['modification', 'loan', 'mortgage', 'we', 'to', 'and', 'the', 'my', 'for', 'home']",
5,310,5_flight_dispute_the_refund,"['flight', 'dispute', 'the', 'refund', 'to', 'chase', 'on', 'that', 'merchant', 'and']",
6,296,6_interest_balance_statement_paid,"['interest', 'balance', 'statement', 'paid', 'the', 'payment', 'the balance', 'purchases', 'full', 'on']",
7,275,7_amazon_card_credit_chase,"['amazon', 'card', 'credit', 'chase', 'the', 'credit card', 'to', 'my', 'and', 'that']",
8,273,8_credit_closed_accounts_card,"['credit', 'closed', 'accounts', 'card', 'cards', 'my', 'credit card', 'chase', 'my credit', 'credit cards']",
9,235,9_money_tickets_the_to,"['money', 'tickets', 'the', 'to', 'and', 'was', 'quickpay', 'they', 'he', 'the money']",
10,228,10_loan_rate_we_closing,"['loan', 'rate', 'we', 'closing', 'the', 'refinance', 'to', 'the loan', 'mortgage', 'and']",
11,204,11_payment_payments_mortgage_to,"['payment', 'payments', 'mortgage', 'to', 'my', 'the', 'chase', 'and', 'on', 'of']",
12,181,12_atm_the atm_machine_deposit,"['atm', 'the atm', 'machine', 'deposit', 'the', 'cash', 'money', 'to', 'and', 'the machine']",
13,176,13_bonus_coupon_account_deposit,"['bonus', 'coupon', 'account', 'deposit', 'direct', 'direct deposit', 'checking', 'the', 'the coupon', 'code']",
14,168,14_of_mortgage_jp_morgan,"['of', 'mortgage', 'jp', 'morgan', 'jp morgan', 'the', 'morgan chase', 'and', 'in', 'to']",
15,162,15_debt_me_the debt_he,"['debt', 'me', 'the debt', 'he', 'they', 'and', 'court', 'was', 'to', 'of']",
16,157,16_credit_my_identity_to,"['credit', 'my', 'identity', 'to', 'and', 'card', 'that', 'application', 'the', 'of']",
17,157,17_escrow_taxes_escrow account_mortgage,"['escrow', 'taxes', 'escrow account', 'mortgage', 'my escrow', 'payment', 'tax', 'property', 'the escrow', 'chase']",
18,156,18_wire_the wire_wire transfer_transfer,"['wire', 'the wire', 'wire transfer', 'transfer', 'bank', 'the', 'to', 'money', 'was', 'chase']",
19,156,19_limit_credit_my credit_credit limit,"['limit', 'credit', 'my credit', 'credit limit', 'my', 'score', 'credit score', 'card', 'to', 'and']",
20,149,20_the_item_dispute_return,"['the', 'item', 'dispute', 'return', 'package', 'merchant', 'to', 'and', 'that', 'was']",
21,134,21_jpmcb_jpmcb card_credit_my credit,"['jpmcb', 'jpmcb card', 'credit', 'my credit', 'card service', 'account', 'this account', 'this', 'card', 'report']",
22,128,22_rate_apr_interest_interest rate,"['rate', 'apr', 'interest', 'interest rate', 'increase', 'card', 'rates', 'is', 'credit', 'to']",
23,126,23_sale_short sale_short_we,"['sale', 'short sale', 'short', 'we', 'the short', 'approval', 'the', 'buyer', 'home', 'to']",
24,126,24_credit_card_application_credit card,"['credit', 'card', 'application', 'credit card', 'cards', 'for', 'applied', 'score', 'chase', 'credit cards']",
25,121,25_insurance_escrow_to_the,"['insurance', 'escrow', 'to', 'the', 'my insurance', 'they', 'my', 'and', 'flood', 'mortgage']",
26,118,26_late_late fee_payment_fee,"['late', 'late fee', 'payment', 'fee', 'due', 'late fees', 'fees', 'on', 'due date', 'the late']",
27,114,27_calls_call_phone_calling,"['calls', 'call', 'phone', 'calling', 'number', 'day', 'they', 'stop', 'calls from', 'and']",
28,113,28_complaint_chase_to_that,"['complaint', 'chase', 'to', 'that', 'not', 'in', 'and', 'cfpb', 'the', 'with']",
29,112,29_payment_chase_to_the,"['payment', 'chase', 'to', 'the', 'card', 'balance', 'not', 'they', 'credit', 'that']",
30,108,30_late_payment_late payment_credit,"['late', 'payment', 'late payment', 'credit', 'report', '30', 'my credit', 'credit report', 'reporting', 'on my']",
31,106,31_title_lien_the title_chase co,"['title', 'lien', 'the title', 'chase co', 'vehicle', 'release', 'co', 'the lien', 'the', 'jpmorgan chase']",
32,95,32_report_opened_theft_identity theft,"['report', 'opened', 'theft', 'identity theft', 'my credit', 'credit report', 'identity', 'credit', 'of identity', 'accounts']",
33,86,33_student_loan_loans_student loan,"['student', 'loan', 'loans', 'student loan', 'private', 'student loans', 'private student', 'payments', 'to', 'the loan']",
34,83,34_reporting_debt_credit_of,"['reporting', 'debt', 'credit', 'of', 'information', 'certified', 'dispute', 'act', 'letter', 'the fair']",
35,82,35_bankruptcy_chapter_mortgage_credit,"['bankruptcy', 'chapter', 'mortgage', 'credit', 'the bankruptcy', 'bk', 'report', 'reporting', 'in', 'filed']",
36,75,36_late_only thought_statements my_thought is,"['late', 'only thought', 'statements my', 'thought is', 'happened believe', 'statement did', 'you when', 'shocked when', 'sure how', 'my statements']",
37,75,37_car_gap_vehicle_insurance,"['car', 'gap', 'vehicle', 'insurance', 'the car', 'my car', 'the', 'was', 'loan', 'gap insurance']",
38,72,38_debt_the debt_irs_income,"['debt', 'the debt', 'irs', 'income', 'tax', 'taxes', 'the irs', 'of debt', 'credit', '1099c']",
39,71,39_claim_trip_insurance_benefits,"['claim', 'trip', 'insurance', 'benefits', 'the', 'travel', 'covered', 'benefit', 'of', 'to']",
40,65,40_transfer_balance transfer_balance_card,"['transfer', 'balance transfer', 'balance', 'card', 'credit', 'slate', 'credit card', 'chase slate', 'to transfer', 'to']",
41,61,41_lease_the lease_vehicle_car,"['lease', 'the lease', 'vehicle', 'car', 'the', 'was', 'the car', 'the vehicle', 'to', 'and']",
42,58,42_inquiries_inquiry_hard_my credit,"['inquiries', 'inquiry', 'hard', 'my credit', 'add hard', 'credit report', 'verification', 'initiated', 'inquiry on', 'hard inquiry']",
43,57,43_morgan_jp_jp morgan_morgan chase,"['morgan', 'jp', 'jp morgan', 'morgan chase', 'reporting', 'of', 'and', 'report', 'credit', 'information']",
44,54,44_covid19_interest_credit_to,"['covid19', 'interest', 'credit', 'to', 'pandemic', 'covid', 'and', 'my', 'payment', 'payments']",
45,52,45_death_she_mother_estate,"['death', 'she', 'mother', 'estate', 'the', 'my mother', 'her', 'to', 'of', 'trust']",
46,52,46_reporting_you_of_information,"['reporting', 'you', 'of', 'information', 'your', 'credit', 'this', 'consumer', 'debt', 'report']",
47,51,47_pmi_the pmi_ltv_value,"['pmi', 'the pmi', 'ltv', 'value', 'appraisal', '80', 'mortgage', 'loan', 'the', 'bpo']",
48,49,48_card_debit_debit card_address,"['card', 'debit', 'debit card', 'address', 'to', 'new', 'my', 'bank', 'had', 'the']",
49,46,49_property_the property_deed_the,"['property', 'the property', 'deed', 'the', 'loan', 'home', 'house', 'mortgage', 'in', 'modification']",
50,44,50_reporting_credit_report_my credit,"['reporting', 'credit', 'report', 'my credit', 'credit report', 'account', 'this account', 'chase', 'on my', 'negative']",
51,42,51_social_social security_security_my,"['social', 'social security', 'security', 'my', 'and', 'id', 'account', 'to', 'the', 'branch']",
52,42,52_investigation results_incorrect items_been well_any investigation,"['investigation results', 'incorrect items', 'been well', 'any investigation', 'items on', 'well over', 'results', 'over 30', 'havent received', 'dispute in']",
53,40,53_late_jpmcb_days late_jpmcb card,"['late', 'jpmcb', 'days late', 'jpmcb card', 'payment', 'jpmcb auto', '30', 'days', 'this account', 'marks which']",
54,35,54_sba_business_loan_the sba,"['sba', 'business', 'loan', 'the sba', 'funds', 'eidl', 'ein', 'my business', 'my', 'account']",
55,34,55_wamu_fdic_of_mutual,"['wamu', 'fdic', 'of', 'mutual', 'washington mutual', 'washington', 'the', 'loan', 'loans', 'in']",
56,34,56_open_to open_account_bank,"['open', 'to open', 'account', 'bank', 'account with', 'open an', 'an account', 'chase bank', 'open checking', 'an']",
57,32,57_exchange_exchange rate_rate_foreign,"['exchange', 'exchange rate', 'rate', 'foreign', 'currency', 'the exchange', 'foreign transaction', 'transaction', 'usd', 'fee']",
58,31,58_app_my bank_the app_bank,"['app', 'my bank', 'the app', 'bank', 'bank is', 'send', 'sending', 'updated', 'money', 'nt']",
59,30,59_social security_social_security_account,"['social security', 'social', 'security', 'account', 'the', 'my', 'to', 'check', 'bank', 'the account']",
60,30,60_charge_charges_credit card_the charge,"['charge', 'charges', 'credit card', 'the charge', 'charged', 'merchant', 'card', 'this charge', 'dispute', 'the merchant']",
61,30,61_forbearance_payment_deferment_mortgage,"['forbearance', 'payment', 'deferment', 'mortgage', 'payments', 'of', 'we', 'be', 'the forbearance', 'months']",
62,29,62_cash advance_cash_advance_transaction,"['cash advance', 'cash', 'advance', 'transaction', 'fee', 'as cash', 'credit card', 'card', 'cash advances', 'advances']",
63,28,63_minimum_the minimum_pay_payment,"['minimum', 'the minimum', 'pay', 'payment', 'minimum payment', 'amount', 'automatic', 'option', 'balance', 'full']",
64,28,64_cd_box_the cd_the,"['cd', 'box', 'the cd', 'the', 'deposit box', 'deposit', 'of', 'my cd', 'to', 'the box']",
65,27,65_user_authorized user_an authorized_authorized,"['user', 'authorized user', 'an authorized', 'authorized', 'as an', 'added', 'an', 'added as', 'secondary', 'card']",
66,26,66_ftc_company_the ftc_services,"['ftc', 'company', 'the ftc', 'services', 'charges', 'companies', 'the', 'business', 'for', 'of']",
67,26,67_report per_add hard_per on_add,"['report per', 'add hard', 'per on', 'add', 'hard', 'per', 'credit report', 'inquiry on', 'hard inquiry', 'inquiry']",
68,24,68_online_to_account_call,"['online', 'to', 'account', 'call', 'locked', 'unlock', 'my account', 'phone', 'my', 'access']",
69,24,69_heloc_our_the heloc_we,"['heloc', 'our', 'the heloc', 'we', 'equity', 'of', 'loan', 'home', 'to', 'the']",
70,23,70_irs_the irs_tax_refund,"['irs', 'the irs', 'tax', 'refund', 'return', 'my tax', 'the', 'account', 'funds', 'to']",
71,23,71_settlement_in full_full_paid in,"['settlement', 'in full', 'full', 'paid in', 'paid', 'settled', 'letter', 'in', 'debt', 'settlement agreement']",
72,22,72_refund_card_the refund_credit card,"['refund', 'card', 'the refund', 'credit card', 'purged', 'chase', 'credit', 'closed', 'to', 'the']",
73,22,73_late_payment_jp_reporting,"['late', 'payment', 'jp', 'reporting', 'jp morgan', 'morgan', 'late payment', 'morgan chase', 'this', 'credit']",
74,21,74_check_the check_payment_stop payment,"['check', 'the check', 'payment', 'stop payment', 'on', 'to', 'stop', 'the', 'was', 'that']",
75,20,75_business_credit_personal credit_personal,"['business', 'credit', 'personal credit', 'personal', 'card', 'the business', 'my personal', 'business credit', 'business card', 'report']",
76,20,76_room_hotel_the hotel_the room,"['room', 'hotel', 'the hotel', 'the room', 'the', 'stay', 'that', 'did', 'and', 'for']",
77,20,77_bankruptcy_credit_years_denied,"['bankruptcy', 'credit', 'years', 'denied', 'the bankruptcy', 'for', 'have', 'and', 'was', 'my']",
78,18,78_fax_the fax_to_documents,"['fax', 'the fax', 'to', 'documents', 'number', 'letter', 'they', 'fax number', 'the', 'and']",
79,18,79_debt_the debt_creditor_collection,"['debt', 'the debt', 'creditor', 'collection', 'this debt', 'the license', 'letter', 'license', 'this', 'agency']",
80,17,80_identity_theft_identity theft_theft report,"['identity', 'theft', 'identity theft', 'theft report', 'of identity', 'data breaches', 'report', 'information from', 'breaches', 'data']",
81,17,81_this account_collection_any collection_deletion,"['this account', 'collection', 'any collection', 'deletion', 'deleted', 'account', 'responsible party', 'collection matter', 'permanently', 'this']",
82,17,82_to open_open_account_opening,"['to open', 'open', 'account', 'opening', 'chase', 'nevernave credit', 'nevernave', 'will nevernave', 'an account', 'tried']",
83,16,83_account_transfer_funds_money,"['account', 'transfer', 'funds', 'money', 'the', 'number', 'chase', 'the funds', 'the money', 'account number']",
84,16,84_mortgage_of deeds_register of_deeds,"['mortgage', 'of deeds', 'register of', 'deeds', 'loan', 'deed', 'register', 'som', 'wi', 'owner']",
85,16,85_arbitration_opt_opt out_agreement,"['arbitration', 'opt', 'opt out', 'agreement', 'arbitration clause', 'to opt', 'clause', 'mandatory arbitration', 'binding arbitration', 'binding']",
86,16,86_stimulus_irs_stimulus check_check,"['stimulus', 'irs', 'stimulus check', 'check', 'the irs', 'my stimulus', 'account', 'my', 'the', 'to']",
87,16,87_ach_transactions_chase_transaction,"['ach', 'transactions', 'chase', 'transaction', 'back', 'to', 'they', 'that', 'bank', 'the']",
88,16,88_15 usc_usc_15_report complete,"['15 usc', 'usc', '15', 'report complete', 'continuing collection', '1681 by', '1692 by', 'after cease', 'desist and', 'by continuing']",
89,15,89_car_the car_rental_the rental,"['car', 'the car', 'rental', 'the rental', 'the', 'charge', 'that', 'was', 'rented', 'on']",
90,15,90_identity_identity theft_theft_information,"['identity', 'identity theft', 'theft', 'information', 'report', 'credit', 'reporting', 'the fair', 'fair', 'credit reporting']",
91,15,91_loan_closing_the_and,"['loan', 'closing', 'the', 'and', 'to', 'you', 'documents', 'me', 'that', 'with']",
92,15,92_tax_property tax_vehicle_lease,"['tax', 'property tax', 'vehicle', 'lease', 'property', 'taxes', 'leased', 'the tax', 'the', 'the vehicle']",
93,15,93_client is_his_client_the fcra,"['client is', 'his', 'client', 'the fcra', 'fcra', 'is victim', 'his information', 'fraudulent', 'consent', 'theft']",
